latitude,longitude,strata,region
41.1833,-70.6667,24,2
41.1833,-70.6667,24,2
41.1833,-70.6667,24,2
41.1833,-70.6667,24,2
41.1833,-70.6667,24,2
41.0167,-70.6667,24,2
41.0167,-70.6667,24,2
41.0167,-70.6667,24,2
41.0167,-70.6667,24,2
41,-71.5,20,2
41,-71.5,20,2
41,-71.5,20,2
41,-71.5,20,2
40.5167,-71.0167,19,2
40.5167,-71.0167,19,2
40.5167,-71.0167,19,2
40.5167,-71.0167,19,2
40.5167,-71.0167,19,2
40.2667,-71.5,19,2
40.2667,-71.5,19,2
40.2667,-71.5,19,2
40.2667,-71.5,19,2
40.2667,-71.5,19,2
40.15,-71.75,19,2
40.15,-71.75,19,2
40.15,-71.75,19,2
40.15,-71.75,19,2
40.15,-71.75,19,2
40.2333,-69.9667,23,2
40.2333,-69.9667,23,2
40.2333,-69.9667,23,2
40.2333,-69.9667,23,2
40.0167,-70,22,2
40.0167,-70,22,2
40.0167,-70,22,2
40.0167,-70,22,2
40.25,-69,22,2
40.25,-69,22,2
40.25,-69,22,2
40.25,-69,22,2
40.25,-69,22,2
40.5,-69,23,2
40.5,-69,23,2
40.5,-69,23,2
40.5,-69,23,2
40.5,-70,23,2
40.5,-70,23,2
40.5,-70,23,2
40.5,-70,23,2
40.6333,-70.7333,19,2
40.6333,-70.7333,19,2
40.6333,-70.7333,19,2
40.6333,-70.7333,19,2
40.6667,-70.0333,24,2
40.6667,-70.0333,24,2
40.6667,-70.0333,24,2
40.6667,-70.0333,24,2
40.7667,-69,23,2
40.7667,-69,23,2
40.7667,-69,23,2
41,-68.9833,23,2
41,-68.9833,23,2
41,-68.9833,23,2
41.2333,-68.9667,33,4
41.2333,-68.9667,33,4
41.2333,-68.9667,33,4
41.5,-68.9833,34,4
41.5,-68.9833,34,4
41.5,-68.9833,34,4
41.5,-68.9833,34,4
41.75,-68.9833,34,4
41.75,-68.9833,34,4
41.75,-68.9833,34,4
41.9167,-69.8333,33,4
41.9167,-69.8333,33,4
41.9167,-69.8333,33,4
41.9167,-69.8333,33,4
41.9167,-69.8333,33,4
42.3167,-69.9667,36,4
42.3167,-69.9667,36,4
42.3167,-69.9667,36,4
42.3167,-69.9667,36,4
42.2167,-69.4667,37,4
42.2167,-69.4667,37,4
42.2167,-69.4667,37,4
42.0167,-69,34,4
42.0167,-69,34,4
42.0167,-69,34,4
42.0167,-69,34,4
40.5,-68,26,3
40.5,-68,26,3
40.5,-68,26,3
40.5,-68,26,3
40.7333,-68.0167,27,3
40.7333,-68.0167,27,3
40.7333,-68.0167,27,3
40.9167,-68.2333,30,3
41,-68,30,3
41,-68,30,3
41.25,-67.9,30,3
41.25,-67.9,30,3
41.6,-68.1,31,3
41.6,-68.1,31,3
41.6,-68.1,31,3
41.6,-68.1,31,3
41.8333,-68,32,3
41.8333,-68,32,3
41.8333,-68,32,3
41.8333,-68,32,3
42,-68,32,3
42,-68,32,3
42,-68,32,3
42.2667,-67.9833,38,4
42.2667,-67.9833,38,4
42.2667,-67.9833,38,4
42.2667,-67.9833,38,4
42.2667,-67.9833,38,4
42.2333,-66.9833,38,4
42.2333,-66.9833,38,4
42.2333,-66.9833,38,4
42.0333,-66.9667,29,3
42.0333,-66.9667,29,3
42.0333,-66.9667,29,3
42.0333,-66.9667,29,3
40.75,-67.0167,27,3
40.75,-67.0167,27,3
40.75,-67.0167,27,3
40.75,-67.0167,27,3
40.75,-67.0167,27,3
41,-67,29,3
41,-67,29,3
41,-67,29,3
41,-67,29,3
41,-67,29,3
41.25,-67,29,3
41.25,-67,29,3
41.25,-67,29,3
41.4833,-67,29,3
41.4833,-67,29,3
41.4833,-67,29,3
41.75,-67,30,3
41.75,-67,30,3
41.75,-67,30,3
41.75,-67,30,3
41.75,-67,30,3
42.1667,-66.1667,32,3
42.1667,-66.1667,32,3
42.1667,-66.1667,32,3
42.2667,-65.9833,38,4
42.2667,-65.9833,38,4
